Skills,Experience,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,AI_Score,Recruiter_Decision,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Education_Encoded,ModelB_Hire_Prob,ModelB_Prediction,ModelB_Pred_Label,ModelB_Rank
"Networking, Linux, Ethical Hacking, Cybersecurity",0,MBA,,Cybersecurity Analyst,108549,2,29.7,Hire,3,3,1,3,0.9856,1,Hire,1
"TensorFlow, Python",1,M.Tech,Deep Learning Specialization,AI Researcher,108308,4,57.3,Hire,3,1,0,2,0.9856,1,Hire,1
"Machine Learning, Python",1,MBA,AWS Certified,Data Scientist,108606,3,41.9,Hire,3,0,2,3,0.9856,1,Hire,1
"Machine Learning, SQL, Python, Deep Learning",2,MBA,Google ML,Data Scientist,108247,6,86.0,Hire,3,2,2,3,0.9856,1,Hire,1
"Java, SQL, React, C++",9,B.Sc,Google ML,Software Engineer,108502,9,93.9,Hire,2,2,3,0,0.9856,1,Hire,1
"Python, Deep Learning",9,B.Tech,AWS Certified,Data Scientist,108567,1,97.6,Hire,2,0,2,1,0.9856,1,Hire,1
"Cybersecurity, Ethical Hacking, Networking",6,M.Tech,Google ML,Cybersecurity Analyst,108922,10,98.8,Hire,3,2,1,2,0.9856,1,Hire,1
"Deep Learning, Machine Learning, SQL, Python",1,PhD,,Data Scientist,108185,8,70.5,Hire,4,3,2,4,0.9856,1,Hire,1
"NLP, Pytorch, TensorFlow",9,B.Sc,,AI Researcher,108379,10,97.5,Hire,2,3,0,0,0.9856,1,Hire,1
"React, SQL",4,PhD,,Software Engineer,108770,10,100.0,Hire,4,3,3,4,0.9856,1,Hire,1
"NLP, TensorFlow, Pytorch, Python",8,B.Sc,Deep Learning Specialization,AI Researcher,108667,0,98.6,Hire,2,1,0,0,0.9856,1,Hire,1
"React, C++",1,PhD,Deep Learning Specialization,Software Engineer,107085,10,84.6,Hire,4,1,3,4,0.9855,1,Hire,12
"React, C++, Java, SQL",5,M.Tech,Google ML,Software Engineer,106646,4,98.1,Hire,3,2,3,2,0.9855,1,Hire,12
"SQL, Deep Learning, Python, Machine Learning",6,MBA,Google ML,Data Scientist,107075,8,97.9,Hire,3,2,2,3,0.9855,1,Hire,12
"Pytorch, NLP, Python",10,M.Tech,Deep Learning Specialization,AI Researcher,106554,2,100.0,Hire,3,1,0,2,0.9855,1,Hire,12
"Machine Learning, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,107045,8,91.1,Hire,3,0,2,3,0.9855,1,Hire,12
"Cybersecurity, Networking, Linux",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,107124,2,100.0,Hire,4,1,1,4,0.9854,1,Hire,17
"Java, React, SQL, C++",1,B.Sc,,Software Engineer,107509,10,77.8,Hire,2,3,3,0,0.9854,1,Hire,17
"Ethical Hacking, Linux, Networking, Cybersecurity",7,MBA,,Cybersecurity Analyst,107237,3,100.0,Hire,3,3,1,3,0.9854,1,Hire,17
"Networking, Linux, Ethical Hacking",4,PhD,,Cybersecurity Analyst,107425,2,64.1,Hire,4,3,1,4,0.9854,1,Hire,17
"NLP, TensorFlow, Pytorch, Python",0,B.Sc,Google ML,AI Researcher,107278,1,33.4,Hire,2,2,0,0,0.9854,1,Hire,17
"Networking, Ethical Hacking",6,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,107340,7,89.0,Hire,2,1,1,0,0.9854,1,Hire,17
"SQL, Machine Learning, Deep Learning, Python",8,M.Tech,Google ML,Data Scientist,109019,8,95.4,Hire,3,2,2,2,0.9851,1,Hire,23
"Cybersecurity, Networking",7,MBA,,Cybersecurity Analyst,109418,6,100.0,Hire,3,3,1,3,0.9851,1,Hire,23
"C++, Java",0,M.Tech,Deep Learning Specialization,Software Engineer,109551,3,26.8,Hire,3,1,3,2,0.9851,1,Hire,23
"Cybersecurity, Ethical Hacking, Linux, Networking",5,B.Tech,AWS Certified,Cybersecurity Analyst,109004,7,100.0,Hire,2,0,1,1,0.9851,1,Hire,23
"TensorFlow, Pytorch, Python, NLP",6,PhD,AWS Certified,AI Researcher,109248,8,96.4,Hire,4,0,0,4,0.9851,1,Hire,23
"Linux, Cybersecurity, Networking, Ethical Hacking",6,B.Tech,AWS Certified,Cybersecurity Analyst,109463,6,93.7,Hire,2,0,1,1,0.9851,1,Hire,23
"Pytorch, Python, TensorFlow, NLP",5,MBA,Google ML,AI Researcher,109244,5,99.7,Hire,3,2,0,3,0.9851,1,Hire,23
"React, C++",7,PhD,,Software Engineer,107965,10,100.0,Hire,4,3,3,4,0.9847,1,Hire,30
"Machine Learning, SQL",5,B.Sc,Deep Learning Specialization,Data Scientist,108012,7,100.0,Hire,2,1,2,0,0.9847,1,Hire,30
"Networking, Linux, Ethical Hacking, Cybersecurity",2,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,108144,2,63.8,Hire,2,1,1,0,0.9847,1,Hire,30
"NLP, Python",9,M.Tech,,AI Researcher,107875,5,100.0,Hire,3,3,0,2,0.9847,1,Hire,30
"Machine Learning, Deep Learning, Python",3,PhD,,Data Scientist,107521,10,95.2,Hire,4,3,2,4,0.9847,1,Hire,30
"Machine Learning, Python, Deep Learning, SQL",9,B.Tech,Google ML,Data Scientist,107697,5,90.8,Reject,2,2,2,1,0.9847,1,Hire,30
"Linux, Ethical Hacking, Networking",10,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,108070,1,100.0,Hire,2,1,1,0,0.9847,1,Hire,30
"TensorFlow, Pytorch, NLP, Python",6,B.Tech,AWS Certified,AI Researcher,109750,9,100.0,Hire,2,0,0,1,0.9831,1,Hire,37
"Python, SQL, Deep Learning, Machine Learning",10,M.Tech,Deep Learning Specialization,Data Scientist,110158,8,95.8,Hire,3,1,2,2,0.9831,1,Hire,37
"Pytorch, TensorFlow, Python, NLP",4,M.Tech,Google ML,AI Researcher,109802,3,91.3,Hire,3,2,0,2,0.9831,1,Hire,37
"NLP, TensorFlow, Pytorch",3,M.Tech,AWS Certified,AI Researcher,112201,6,89.0,Hire,3,0,0,2,0.983,1,Hire,40
"SQL, Python, Deep Learning",3,MBA,,Data Scientist,112439,10,90.0,Hire,3,3,2,3,0.983,1,Hire,40
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,,Data Scientist,112155,0,69.8,Hire,2,3,2,1,0.983,1,Hire,40
"Java, SQL",3,PhD,Google ML,Software Engineer,112396,10,100.0,Hire,4,2,3,4,0.983,1,Hire,40
"Cybersecurity, Networking, Ethical Hacking",4,MBA,,Cybersecurity Analyst,112115,9,100.0,Hire,3,3,1,3,0.983,1,Hire,40
"Pytorch, NLP, Python, TensorFlow",7,M.Tech,AWS Certified,AI Researcher,112353,10,100.0,Hire,3,0,0,2,0.983,1,Hire,40
"TensorFlow, NLP",9,B.Sc,Deep Learning Specialization,AI Researcher,111697,4,88.8,Hire,2,1,0,0,0.9821,1,Hire,46
"NLP, TensorFlow, Python, Pytorch",9,PhD,AWS Certified,AI Researcher,112005,10,100.0,Hire,4,0,0,4,0.9821,1,Hire,46
"Python, SQL, Machine Learning",9,MBA,Deep Learning Specialization,Data Scientist,112067,2,93.3,Hire,3,1,2,3,0.9821,1,Hire,46
"SQL, C++, React",3,B.Tech,,Software Engineer,112003,7,79.1,Hire,2,3,3,1,0.9821,1,Hire,46
"Linux, Cybersecurity",5,M.Tech,,Cybersecurity Analyst,115234,10,100.0,Hire,3,3,1,2,0.9819,1,Hire,50
