Skills,Experience,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Salary_Expectation,Projects_Count
"Python, NLP, Pytorch",2,4,0,0,80377,1
"Cybersecurity, Networking, Ethical Hacking",2,3,0,1,102929,10
"Ethical Hacking, Cybersecurity, Linux",6,3,2,1,66802,1
"TensorFlow, Pytorch",2,2,3,0,62312,1
"C++, React, Java, SQL",9,3,3,3,99057,8
"TensorFlow, NLP, Pytorch, Python",4,4,1,0,89633,2
"NLP, TensorFlow, Python, Pytorch",6,3,0,0,102676,0
"Networking, Ethical Hacking, Linux, Cybersecurity",3,4,2,1,115708,9
"NLP, TensorFlow",4,3,2,0,49331,7
"SQL, Deep Learning",6,2,1,2,116832,1
"Python, Pytorch",7,2,3,0,98548,7
"Networking, Linux, Ethical Hacking, Cybersecurity",7,4,3,1,92893,7
"Python, NLP, Pytorch, TensorFlow",0,2,2,0,106452,3
"Cybersecurity, Linux, Ethical Hacking",2,4,3,1,51721,10
"Machine Learning, Deep Learning, SQL",6,3,3,2,41610,7
"Python, TensorFlow",0,3,2,0,61991,1
"SQL, C++",7,3,1,3,61986,5
"React, Java, C++, SQL",7,3,1,3,89830,3
"Cybersecurity, Networking",3,4,3,1,42368,9
"C++, React, SQL, Java",5,3,3,3,48105,6
"TensorFlow, Pytorch, Python, NLP",4,3,0,0,61757,2
"React, Java",5,4,3,3,74711,8
"SQL, React, Java",2,3,2,3,62666,1
"Machine Learning, Python",1,3,0,2,108606,3
"TensorFlow, NLP, Python, Pytorch",3,2,3,0,95357,8
"Linux, Cybersecurity",7,4,3,1,106469,0
"React, Java, SQL, C++",5,4,1,3,94954,10
"C++, Java",2,3,1,3,85561,2
"Python, NLP, TensorFlow, Pytorch",5,4,3,0,45488,9
"Deep Learning, Python",3,3,0,2,110523,4
"SQL, Java",1,2,2,3,45989,7
"SQL, Machine Learning",3,4,1,2,112466,9
"Networking, Ethical Hacking",0,3,0,1,74792,5
"Networking, Linux, Ethical Hacking",3,3,0,1,102914,6
"SQL, Java, React",1,3,0,3,48917,3
"Ethical Hacking, Networking",2,3,1,1,49346,3
"NLP, Python",9,3,3,0,107875,5
"Deep Learning, Python, Machine Learning, SQL",10,3,1,2,63516,2
"Linux, Networking",0,2,0,1,64620,6
"Python, Pytorch, TensorFlow",7,2,0,0,46848,0
"Python, SQL, Machine Learning",10,3,2,2,114118,2
"C++, React, SQL, Java",5,2,0,3,84438,10
"Pytorch, TensorFlow, Python, NLP",4,2,3,0,66621,5
"Cybersecurity, Networking, Ethical Hacking, Linux",5,2,0,1,74090,3
"NLP, Python",10,4,2,0,100218,10
"Machine Learning, Python, Deep Learning, SQL",5,3,1,2,95222,5
"Pytorch, NLP",4,2,2,0,52692,10
"Python, NLP, Pytorch",3,2,1,0,91770,0
"Python, Pytorch",7,2,2,0,71756,2
"React, C++",7,3,0,3,98988,10
"React, Java, SQL",4,3,1,3,82848,5
"NLP, TensorFlow, Python",2,3,3,0,94281,2
"SQL, Machine Learning, Deep Learning",9,2,3,2,114686,0
"SQL, Deep Learning, Python, Machine Learning",7,3,3,2,71964,7
"Python, NLP, TensorFlow",2,3,2,0,90388,4
"Python, TensorFlow",1,2,1,0,89941,4
"Python, TensorFlow, NLP, Pytorch",5,3,3,0,74282,7
"Python, SQL, Deep Learning, Machine Learning",10,3,1,2,110158,8
"Networking, Ethical Hacking, Cybersecurity, Linux",9,3,1,1,73181,5
"React, SQL, Java",5,4,2,3,102333,10
"SQL, C++, React, Java",4,3,2,3,59448,9
"SQL, Java, React",6,2,2,3,67745,3
"Python, Deep Learning, Machine Learning, SQL",3,4,2,2,77893,10
"Ethical Hacking, Networking",10,3,0,1,71504,6
"React, C++, Java, SQL",5,3,1,3,68881,8
"Ethical Hacking, Linux, Cybersecurity, Networking",7,3,3,1,116460,10
"Pytorch, Python",4,3,0,0,54228,1
"Python, Machine Learning, Deep Learning",0,3,1,2,114745,6
"Ethical Hacking, Networking, Linux, Cybersecurity",0,2,3,1,93079,2
"Ethical Hacking, Linux, Networking, Cybersecurity",6,3,3,1,90173,4
"SQL, Machine Learning, Deep Learning",4,2,3,2,75186,1
"C++, Java",5,4,2,3,76165,8
"Linux, Ethical Hacking",4,2,3,1,110442,7
"Java, C++, React, SQL",5,3,1,3,64162,7
"Networking, Ethical Hacking, Linux, Cybersecurity",10,3,2,1,56891,0
"Python, NLP, TensorFlow, Pytorch",9,2,0,0,95912,10
"Deep Learning, Machine Learning, SQL",10,2,3,2,70494,7
"Pytorch, Python, TensorFlow",0,2,3,0,88958,4
"C++, React",10,3,1,3,49673,5
"SQL, Python, Machine Learning, Deep Learning",6,3,1,2,112595,7
"Java, React",9,2,0,3,79610,1
"TensorFlow, NLP",3,2,2,0,74914,10
"Pytorch, TensorFlow, NLP",8,4,1,0,50670,0
"TensorFlow, Pytorch, Python",8,2,0,0,78090,6
"Deep Learning, Machine Learning, Python, SQL",10,4,3,2,116205,7
"Python, Pytorch, TensorFlow, NLP",6,4,1,0,71832,4
"NLP, Pytorch, TensorFlow",8,3,1,0,102267,6
"Ethical Hacking, Networking",6,3,1,1,61633,4
"Networking, Ethical Hacking, Linux",3,3,3,1,101694,8
"SQL, Java, C++",3,3,3,3,46781,6
"SQL, C++, React",3,2,3,3,112003,7
"Deep Learning, Python, Machine Learning, SQL",6,2,0,2,50340,0
"SQL, C++",7,2,0,3,47957,7
"Pytorch, NLP, Python, TensorFlow",1,3,2,0,94795,7
"NLP, TensorFlow, Python, Pytorch",1,3,2,0,61309,2
"Pytorch, TensorFlow",0,2,1,0,98413,3
"Linux, Networking, Ethical Hacking",7,2,3,1,79874,6
"Pytorch, TensorFlow, NLP",4,2,3,0,90906,3
"Python, TensorFlow, Pytorch, NLP",6,2,2,0,106352,10
"SQL, Python, Machine Learning, Deep Learning",1,2,0,2,43647,1
"Linux, Cybersecurity, Ethical Hacking",4,3,0,1,67535,1
"Linux, Networking, Cybersecurity",3,3,1,1,105232,1
"Java, C++, React, SQL",8,2,3,3,89042,1
"C++, Java, SQL, React",3,2,2,3,49367,3
"Ethical Hacking, Cybersecurity, Networking",3,2,1,1,50972,1
"SQL, Deep Learning, Machine Learning",6,3,3,2,58016,2
"React, SQL",7,2,0,3,75572,0
"Java, React, C++, SQL",7,4,1,3,55916,6
"TensorFlow, NLP, Pytorch, Python",8,3,2,0,53090,6
"Ethical Hacking, Networking",6,4,0,1,66054,2
"Machine Learning, Python, Deep Learning",2,3,2,2,56433,2
"SQL, Java, C++",1,3,1,3,82007,10
